INCREMENTAL_FULL_LEAF_RESOURCE_POLICY_V1 composition_allocation_budget_bytes=17179869184 pcs_retained_byte_budget_bytes=25769803776 host_admission_limit_bytes=34359738368 process_cap_enforced=false
INCREMENTAL_FULL_LEAF_PREFLIGHT_V1 retained_lde_lower_bound_bytes=20550093056 source_column_bytes=10275046528 columns=16894 blowup_log=1 budget_bytes=25769803776 excludes=merkle,fri,quotient,twiddles,witness,allocator
INCREMENTAL_FULL_LEAF_TREE1_PREFLIGHT_V1 retained_bytes=17253064448 columns=8458 budget_bytes=25769803776 retention=never
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.029756000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.022281000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.041752000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.021754000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.062491000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.022072000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.043784000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.021800000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.047199000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.021229000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.046363000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.022125000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.042969000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.027271000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.076865000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.063155000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.132646000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.833546000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=1.782935000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.842591000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=1.834916000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.830658000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=1.855175000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.803674000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=1.921560000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.677508000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=1.897651000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.897163000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=2.286722000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.932436000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=2.391385000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.144262000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.243128000
STAGE101_PROFILE depth=2 id=merkle_commit seconds=438.526985000
STAGE101_PROFILE depth=2 id=riscv_interaction_opcode seconds=2.892422000
STAGE101_PROFILE depth=2 id=riscv_interaction_program seconds=1.159517000
STAGE101_PROFILE depth=2 id=riscv_interaction_memory seconds=0.180548000
STAGE101_PROFILE depth=2 id=riscv_interaction_merkle seconds=2.287483000
STAGE101_PROFILE depth=2 id=riscv_interaction_poseidon seconds=1.349229000
STAGE101_PROFILE depth=2 id=riscv_interaction_clock seconds=0.478689000
STAGE101_PROFILE depth=2 id=riscv_interaction_tables seconds=0.129541000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000660000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000016000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000248000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000403000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000020000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000257000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000011000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000362000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000012000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000030000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000011000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000036000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000018000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000024000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000019000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000024000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000022000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000031000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000010000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000457000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000017000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000241000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000050000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000098000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000043000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000107000
STAGE101_PROFILE depth=2 id=interpolate_columns seconds=0.000039000
STAGE101_PROFILE depth=2 id=evaluate_extended_domain seconds=0.000105000
